Conversion_ID,Session_ID,Goal_Type,Goal_Completion,Goal_Value,Transaction_ID
1,3866,Newsletter Subscription,True,0.0,98.0
2,1283,Newsletter Subscription,False,125.17,
3,1944,Download,True,230.67,119.0
4,1399,Newsletter Subscription,True,0.0,5.0
5,1432,Purchase,True,0.0,196.0
6,3502,Newsletter Subscription,True,54.92,79.0
7,3332,Purchase,True,62.69,176.0
8,1481,Sign-up,True,0.0,109.0
9,3296,Purchase,True,0.0,
10,2982,Sign-up,False,385.17,
11,3101,Sign-up,False,199.1,
12,1902,Download,False,79.87,59.0
13,4059,Download,False,0.0,
14,3492,Purchase,False,0.0,149.0
15,3269,Newsletter Subscription,True,0.0,
16,1026,Purchase,False,477.77,
17,2343,Sign-up,False,89.67,
18,1037,Newsletter Subscription,False,292.39,18.0
19,4680,Newsletter Subscription,True,0.0,
20,4850,Newsletter Subscription,False,0.0,
21,4891,Newsletter Subscription,False,430.89,118.0
22,4780,Sign-up,True,256.69,69.0
23,2752,Newsletter Subscription,False,124.96,
24,1855,Purchase,True,455.13,203.0
25,4306,Sign-up,True,45.54,165.0
26,3489,Purchase,True,0.0,89.0
27,4007,Purchase,False,48.12,
28,3766,Newsletter Subscription,False,0.0,198.0
29,1266,Purchase,True,391.17,
30,332,Newsletter Subscription,False,0.0,
31,3432,Sign-up,True,89.07,19.0
32,640,Download,True,0.0,42.0
33,889,Sign-up,True,41.93,10.0
34,3832,Download,False,159.38,
35,3487,Newsletter Subscription,False,0.0,207.0
36,4434,Download,True,264.47,183.0
37,4810,Download,True,26.08,
38,2239,Purchase,True,0.0,
39,519,Download,False,0.0,
40,3835,Download,False,0.0,142.0
41,3930,Purchase,True,0.0,153.0
42,1719,Purchase,True,0.0,33.0
43,1532,Newsletter Subscription,True,0.0,21.0
44,4908,Newsletter Subscription,False,0.0,110.0
45,1999,Newsletter Subscription,False,0.0,
46,4698,Sign-up,False,0.0,123.0
47,1390,Download,True,0.0,93.0
48,2385,Sign-up,False,0.0,
49,4174,Newsletter Subscription,False,409.69,
50,2232,Newsletter Subscription,False,98.82,
51,1941,Purchase,True,153.46,131.0
52,316,Purchase,True,0.0,177.0
53,4340,Newsletter Subscription,False,317.97,168.0
54,2316,Newsletter Subscription,True,369.74,
55,1423,Download,True,258.07,
56,479,Purchase,False,353.69,
57,4822,Sign-up,False,0.0,
58,3517,Newsletter Subscription,True,80.59,
59,1847,Newsletter Subscription,True,0.0,
60,4722,Newsletter Subscription,True,49.18,
61,4066,Sign-up,False,436.04,172.0
62,1355,Sign-up,False,0.0,
63,2949,Sign-up,True,30.65,
64,2720,Download,False,0.0,186.0
65,4468,Download,True,0.0,
66,3429,Newsletter Subscription,True,0.0,
67,3577,Newsletter Subscription,True,110.82,54.0
68,1791,Download,True,0.0,
69,3208,Newsletter Subscription,True,0.0,
70,4871,Download,True,0.0,151.0
71,3283,Download,True,337.8,
72,3893,Newsletter Subscription,False,0.0,166.0
73,3893,Sign-up,False,0.0,26.0
74,3871,Newsletter Subscription,False,0.0,148.0
75,422,Download,True,255.17,
76,216,Purchase,True,0.0,100.0
77,3994,Purchase,False,0.0,
78,3461,Purchase,False,0.0,193.0
79,2601,Purchase,False,0.0,
80,3093,Sign-up,False,166.82,
81,4940,Newsletter Subscription,True,0.0,198.0
82,3364,Download,False,0.0,
83,4394,Sign-up,True,0.0,
84,1408,Download,False,0.0,63.0
85,955,Sign-up,False,0.0,
86,2689,Download,False,314.53,
87,3048,Newsletter Subscription,False,362.08,
88,1595,Sign-up,True,0.0,60.0
89,4637,Purchase,False,16.44,34.0
90,1610,Purchase,False,0.0,168.0
91,906,Newsletter Subscription,True,0.0,167.0
92,1350,Download,True,318.35,
93,3650,Sign-up,True,451.68,159.0
94,4959,Newsletter Subscription,True,383.39,
95,486,Download,True,0.0,
96,4948,Newsletter Subscription,False,0.0,
97,3723,Purchase,False,367.63,10.0
98,1809,Sign-up,False,0.0,57.0
99,4109,Download,False,63.43,
100,4975,Newsletter Subscription,False,242.88,
101,4796,Sign-up,False,0.0,131.0
102,281,Download,False,0.0,
103,718,Sign-up,False,204.73,
104,1235,Sign-up,False,0.0,
105,2643,Download,True,104.85,67.0
106,2127,Download,True,0.0,71.0
107,1465,Newsletter Subscription,False,163.86,
108,84,Newsletter Subscription,False,276.19,
109,255,Purchase,True,327.01,
110,4905,Sign-up,False,123.18,130.0
111,4812,Purchase,False,0.0,6.0
112,4231,Purchase,True,121.03,
113,1584,Sign-up,True,167.62,32.0
114,3140,Download,True,0.0,115.0
115,2740,Download,True,59.17,35.0
116,3375,Purchase,True,0.0,
117,1947,Purchase,True,158.39,6.0
118,2834,Purchase,False,0.0,156.0
119,1507,Purchase,False,24.19,
120,3730,Newsletter Subscription,True,397.6,146.0
121,2597,Sign-up,False,13.68,
122,3963,Sign-up,True,280.51,134.0
123,4487,Purchase,True,473.92,13.0
124,4801,Download,False,0.0,105.0
125,1839,Sign-up,True,0.0,121.0
126,270,Newsletter Subscription,True,42.2,49.0
127,2624,Sign-up,True,34.2,33.0
128,4014,Sign-up,False,0.0,132.0
129,4912,Sign-up,False,18.13,59.0
130,2633,Newsletter Subscription,True,321.37,82.0
131,899,Download,False,18.41,
132,2843,Download,True,0.0,
133,1108,Newsletter Subscription,True,101.17,20.0
134,4068,Sign-up,False,0.0,35.0
135,1574,Purchase,False,0.0,
136,3216,Sign-up,False,0.0,
137,4794,Purchase,False,376.27,
138,4034,Download,False,0.0,196.0
139,1672,Newsletter Subscription,True,180.88,106.0
140,2850,Download,True,404.22,21.0
141,2520,Download,False,0.0,175.0
142,636,Sign-up,False,75.32,
143,4548,Download,False,0.0,168.0
144,4925,Newsletter Subscription,False,354.98,100.0
145,1502,Download,False,0.0,
146,3355,Newsletter Subscription,False,489.58,128.0
147,408,Newsletter Subscription,False,39.87,133.0
148,1440,Sign-up,False,0.0,178.0
149,3238,Download,True,0.0,131.0
150,1869,Purchase,False,346.07,195.0
151,3316,Sign-up,False,0.0,151.0
152,4025,Download,True,247.11,
153,3312,Download,False,0.0,
154,1044,Purchase,True,234.65,
155,2986,Newsletter Subscription,False,0.0,
156,4591,Newsletter Subscription,True,0.0,
157,3528,Download,False,0.0,173.0
158,4523,Purchase,True,0.0,
159,4480,Newsletter Subscription,True,0.0,
160,4736,Newsletter Subscription,True,492.96,67.0
161,2253,Download,False,78.44,28.0
162,1356,Purchase,True,0.0,84.0
163,1722,Purchase,True,468.3,4.0
164,902,Download,False,0.0,
165,3009,Sign-up,False,0.0,197.0
166,1702,Sign-up,False,0.0,
167,4892,Sign-up,False,0.0,196.0
168,2059,Purchase,True,0.0,
169,2792,Purchase,True,384.89,
170,3800,Download,False,0.0,78.0
