Source_ID,Session_ID,Source,Medium,Campaign,Keyword
1,1,Twitter,Organic,cover,
2,2,Twitter,Organic,collection,north
3,3,Direct,Referral,there,citizen
4,4,Email Campaign,Social,dinner,continue
5,5,Direct,Social,,determine
6,6,Direct,Paid,,
7,7,Twitter,Social,send,source
8,8,Direct,Paid,,
9,9,Facebook,Paid,can,
10,10,Direct,Social,guess,
11,11,Google,Organic,look,
12,12,Twitter,Social,consider,
13,13,Direct,Referral,,
14,14,Google,Paid,just,air
15,15,Twitter,Paid,field,
16,16,Direct,Referral,place,think
17,17,Direct,Social,,
18,18,Twitter,Organic,project,
19,19,Twitter,Organic,,
20,20,Google,Referral,,
21,21,Facebook,Referral,,
22,22,Google,Paid,professor,
23,23,Google,Referral,fund,
24,24,Google,Organic,,green
25,25,Direct,Referral,,suddenly
26,26,Facebook,Social,,
27,27,Twitter,Social,close,who
28,28,Facebook,Referral,forget,
29,29,Email Campaign,Social,choice,
30,30,Twitter,Organic,prepare,
31,31,Twitter,Paid,skill,
32,32,Twitter,Social,,
33,33,Google,Organic,third,
34,34,Google,Referral,,
35,35,Google,Paid,last,
36,36,Email Campaign,Referral,food,
37,37,Email Campaign,Paid,page,
38,38,Facebook,Referral,,
39,39,Email Campaign,Organic,teach,several
40,40,Google,Paid,,
41,41,Twitter,Social,,
42,42,Direct,Organic,,
43,43,Direct,Organic,,
44,44,Email Campaign,Paid,,
45,45,Direct,Organic,,
46,46,Facebook,Social,,
47,47,Google,Organic,such,
48,48,Direct,Paid,the,
49,49,Twitter,Organic,by,laugh
50,50,Email Campaign,Referral,million,second
51,51,Google,Organic,,
52,52,Twitter,Referral,,
53,53,Facebook,Referral,,
54,54,Direct,Paid,throughout,
55,55,Facebook,Social,most,
56,56,Twitter,Organic,nature,miss
57,57,Twitter,Paid,,
58,58,Twitter,Social,,
59,59,Google,Referral,,
60,60,Google,Referral,,
61,61,Email Campaign,Organic,,
62,62,Direct,Organic,parent,
63,63,Facebook,Paid,,
64,64,Direct,Organic,,
65,65,Direct,Referral,,
66,66,Direct,Referral,order,
67,67,Direct,Paid,paper,
68,68,Direct,Referral,series,financial
69,69,Twitter,Referral,,
70,70,Facebook,Referral,sing,
71,71,Facebook,Paid,,various
72,72,Email Campaign,Paid,again,
73,73,Email Campaign,Social,size,rule
74,74,Twitter,Organic,,
75,75,Email Campaign,Paid,,
76,76,Google,Referral,,vote
77,77,Google,Organic,number,nation
78,78,Twitter,Referral,,discussion
79,79,Google,Social,,
80,80,Facebook,Referral,moment,
81,81,Facebook,Paid,,better
82,82,Twitter,Referral,keep,
83,83,Email Campaign,Social,side,
84,84,Direct,Paid,compare,
85,85,Twitter,Paid,,bed
86,86,Direct,Referral,thought,
87,87,Facebook,Referral,boy,
88,88,Facebook,Organic,picture,
89,89,Twitter,Referral,,by
90,90,Email Campaign,Social,court,
91,91,Twitter,Organic,,interview
92,92,Email Campaign,Social,,thus
93,93,Google,Organic,,exactly
94,94,Direct,Organic,,
95,95,Google,Paid,way,
96,96,Direct,Social,,
97,97,Google,Paid,,
98,98,Twitter,Organic,education,all
99,99,Email Campaign,Organic,main,street
100,100,Email Campaign,Paid,,maybe
101,101,Google,Paid,,
102,102,Email Campaign,Referral,church,
103,103,Direct,Organic,,
104,104,Facebook,Organic,,
105,105,Email Campaign,Social,big,
106,106,Facebook,Social,,
107,107,Google,Social,,
108,108,Direct,Referral,contain,
109,109,Google,Social,rate,professional
110,110,Direct,Social,,
111,111,Direct,Paid,when,
112,112,Direct,Referral,down,
113,113,Facebook,Paid,,
114,114,Facebook,Social,,former
115,115,Twitter,Referral,of,
116,116,Twitter,Referral,prevent,believe
117,117,Direct,Organic,,test
118,118,Facebook,Referral,,shoulder
119,119,Twitter,Referral,believe,
120,120,Email Campaign,Referral,prevent,
121,121,Facebook,Organic,season,deal
122,122,Direct,Referral,hold,around
123,123,Twitter,Social,,
124,124,Direct,Paid,,citizen
125,125,Twitter,Referral,,
126,126,Twitter,Organic,,
127,127,Google,Referral,,
128,128,Google,Social,feeling,blue
129,129,Email Campaign,Paid,service,
130,130,Email Campaign,Referral,house,base
131,131,Twitter,Organic,,
132,132,Email Campaign,Social,movie,
133,133,Facebook,Social,,against
134,134,Direct,Organic,policy,
135,135,Twitter,Referral,whether,
136,136,Twitter,Social,,
137,137,Email Campaign,Referral,,compare
138,138,Facebook,Organic,,
139,139,Facebook,Social,general,
140,140,Direct,Organic,,
141,141,Email Campaign,Social,,story
142,142,Facebook,Organic,,investment
143,143,Direct,Organic,thought,
144,144,Facebook,Organic,,
145,145,Twitter,Organic,,
146,146,Direct,Referral,skill,
147,147,Google,Social,,
148,148,Facebook,Referral,size,prevent
149,149,Twitter,Paid,,
150,150,Twitter,Referral,,
151,151,Facebook,Organic,,
152,152,Direct,Paid,,
153,153,Email Campaign,Referral,,
154,154,Direct,Referral,approach,head
155,155,Google,Social,time,
156,156,Facebook,Paid,,
157,157,Email Campaign,Social,,
158,158,Google,Referral,thus,
159,159,Twitter,Social,teacher,
160,160,Email Campaign,Social,,
161,161,Email Campaign,Referral,career,
162,162,Direct,Organic,,yes
163,163,Google,Organic,national,
164,164,Facebook,Organic,,
165,165,Email Campaign,Social,,
166,166,Facebook,Organic,,who
167,167,Twitter,Paid,modern,
168,168,Google,Social,class,
169,169,Email Campaign,Social,,
170,170,Direct,Organic,,
171,171,Twitter,Organic,consider,
172,172,Facebook,Paid,apply,
173,173,Facebook,Paid,they,
174,174,Email Campaign,Referral,indicate,
175,175,Google,Organic,performance,
176,176,Facebook,Organic,act,choice
177,177,Google,Referral,of,
178,178,Email Campaign,Referral,,
179,179,Facebook,Social,,gas
180,180,Twitter,Organic,,produce
181,181,Direct,Social,,population
182,182,Email Campaign,Referral,stock,
183,183,Email Campaign,Organic,research,
184,184,Direct,Referral,,
185,185,Direct,Organic,,
186,186,Twitter,Paid,,
187,187,Google,Organic,situation,
188,188,Facebook,Paid,figure,
189,189,Facebook,Social,boy,
190,190,Email Campaign,Social,,
191,191,Facebook,Organic,official,
192,192,Google,Paid,,
193,193,Google,Social,head,
194,194,Email Campaign,Paid,beat,
195,195,Email Campaign,Social,,style
196,196,Facebook,Referral,individual,
197,197,Direct,Social,,
198,198,Google,Organic,,glass
199,199,Twitter,Paid,attention,
200,200,Twitter,Organic,,before
201,201,Facebook,Paid,,leave
202,202,Email Campaign,Social,,
203,203,Email Campaign,Organic,,try
204,204,Facebook,Referral,drug,
205,205,Facebook,Paid,,deep
206,206,Email Campaign,Referral,day,
207,207,Email Campaign,Paid,end,
208,208,Direct,Paid,gas,
209,209,Twitter,Paid,seat,
210,210,Facebook,Social,,
211,211,Facebook,Referral,,probably
212,212,Google,Social,,
213,213,Direct,Social,,
214,214,Google,Organic,,be
215,215,Google,Referral,skill,short
216,216,Twitter,Referral,,
217,217,Facebook,Referral,,defense
218,218,Direct,Paid,,art
219,219,Twitter,Paid,somebody,
220,220,Direct,Social,whose,
221,221,Twitter,Referral,decade,
222,222,Google,Paid,least,
223,223,Twitter,Referral,reveal,civil
224,224,Google,Referral,help,
225,225,Email Campaign,Paid,although,
226,226,Twitter,Referral,soldier,stuff
227,227,Facebook,Paid,deep,everybody
228,228,Google,Social,stage,player
229,229,Direct,Referral,,second
230,230,Twitter,Organic,,
231,231,Facebook,Referral,,
232,232,Twitter,Social,,very
233,233,Google,Referral,,
234,234,Twitter,Referral,,industry
235,235,Facebook,Paid,prepare,because
236,236,Email Campaign,Organic,inside,
237,237,Facebook,Organic,agent,
238,238,Direct,Organic,single,
239,239,Google,Referral,,hear
240,240,Email Campaign,Referral,whole,
241,241,Direct,Paid,,
242,242,Email Campaign,Paid,,this
243,243,Facebook,Paid,,position
244,244,Facebook,Referral,a,
245,245,Google,Paid,society,
246,246,Email Campaign,Organic,,hold
247,247,Facebook,Organic,about,
248,248,Twitter,Referral,,trial
249,249,Facebook,Paid,,
250,250,Twitter,Organic,,model
251,251,Direct,Organic,baby,
252,252,Google,Referral,,take
253,253,Google,Referral,cut,
254,254,Email Campaign,Referral,,
255,255,Email Campaign,Referral,energy,
256,256,Twitter,Organic,edge,themselves
257,257,Google,Referral,concern,
258,258,Google,Social,Republican,
259,259,Twitter,Social,policy,
260,260,Google,Paid,,near
261,261,Twitter,Social,through,force
262,262,Google,Referral,most,
263,263,Email Campaign,Referral,,appear
264,264,Facebook,Organic,condition,
265,265,Google,Paid,so,
266,266,Twitter,Referral,lose,
267,267,Direct,Referral,,
268,268,Direct,Referral,modern,team
269,269,Facebook,Paid,,
270,270,Twitter,Paid,field,
271,271,Email Campaign,Paid,,
272,272,Facebook,Social,,
273,273,Twitter,Paid,,
274,274,Twitter,Paid,,
275,275,Google,Referral,imagine,
276,276,Google,Referral,,
277,277,Direct,Organic,large,
278,278,Google,Organic,fear,air
279,279,Email Campaign,Paid,walk,
280,280,Facebook,Social,,
281,281,Email Campaign,Paid,,right
282,282,Google,Organic,,
283,283,Twitter,Social,,
284,284,Email Campaign,Referral,maybe,
285,285,Direct,Paid,play,
286,286,Facebook,Paid,,
287,287,Google,Social,step,
288,288,Direct,Social,,person
289,289,Facebook,Paid,,
290,290,Twitter,Social,,
291,291,Facebook,Social,,
292,292,Twitter,Referral,wife,
293,293,Google,Social,,
294,294,Direct,Social,give,cut
295,295,Google,Social,,
296,296,Google,Social,president,
297,297,Google,Paid,physical,
298,298,Email Campaign,Paid,build,
299,299,Direct,Social,,
300,300,Twitter,Organic,draw,control
301,301,Facebook,Social,food,
302,302,Facebook,Organic,wide,operation
303,303,Google,Paid,,
304,304,Email Campaign,Organic,voice,century
305,305,Direct,Referral,,
306,306,Google,Referral,voice,rock
307,307,Twitter,Paid,,
308,308,Facebook,Social,,follow
309,309,Direct,Referral,include,
310,310,Twitter,Social,film,available
311,311,Direct,Paid,,
312,312,Direct,Referral,,
313,313,Facebook,Social,,
314,314,Google,Social,,race
315,315,Email Campaign,Referral,,
316,316,Twitter,Organic,seat,
317,317,Email Campaign,Referral,,
318,318,Google,Referral,,
319,319,Twitter,Organic,season,
320,320,Facebook,Social,,song
321,321,Email Campaign,Paid,,
322,322,Email Campaign,Paid,service,
323,323,Twitter,Referral,,
324,324,Facebook,Organic,,
325,325,Google,Social,,attorney
326,326,Direct,Referral,,watch
327,327,Facebook,Social,themselves,
328,328,Direct,Social,crime,
329,329,Email Campaign,Referral,,
330,330,Google,Organic,,
331,331,Google,Social,,
332,332,Facebook,Social,,
333,333,Email Campaign,Paid,,
334,334,Direct,Social,may,community
335,335,Twitter,Referral,,
336,336,Facebook,Organic,,
337,337,Facebook,Social,,
338,338,Twitter,Referral,player,
339,339,Email Campaign,Organic,,
340,340,Google,Social,,
341,341,Google,Referral,hour,
342,342,Google,Social,include,local
343,343,Direct,Paid,,
344,344,Google,Paid,,for
345,345,Direct,Paid,,
346,346,Google,Social,seem,
347,347,Email Campaign,Referral,leader,
348,348,Facebook,Referral,,
349,349,Twitter,Referral,,first
350,350,Email Campaign,Organic,policy,
351,351,Facebook,Paid,be,
352,352,Facebook,Paid,,
353,353,Google,Paid,,
354,354,Twitter,Paid,,
355,355,Email Campaign,Organic,watch,
356,356,Facebook,Referral,answer,
357,357,Twitter,Paid,,
358,358,Facebook,Organic,certainly,
359,359,Google,Social,,
360,360,Email Campaign,Organic,,have
361,361,Email Campaign,Referral,member,
362,362,Email Campaign,Organic,second,
363,363,Facebook,Social,civil,
364,364,Twitter,Organic,,
365,365,Facebook,Social,law,
366,366,Twitter,Referral,,
367,367,Facebook,Paid,,
368,368,Facebook,Paid,player,
369,369,Twitter,Organic,family,yourself
370,370,Google,Social,,yes
371,371,Facebook,Referral,,necessary
372,372,Facebook,Organic,important,six
373,373,Email Campaign,Paid,,real
374,374,Twitter,Paid,light,foreign
375,375,Email Campaign,Referral,rich,author
376,376,Email Campaign,Referral,continue,own
377,377,Email Campaign,Referral,,
378,378,Twitter,Referral,,
379,379,Email Campaign,Paid,keep,
380,380,Facebook,Paid,,
381,381,Google,Paid,,
382,382,Email Campaign,Referral,benefit,
383,383,Google,Social,,
384,384,Direct,Paid,,today
385,385,Direct,Referral,,
386,386,Facebook,Referral,,
387,387,Google,Referral,,
388,388,Email Campaign,Paid,part,
389,389,Facebook,Organic,though,
390,390,Email Campaign,Paid,,
391,391,Email Campaign,Social,off,left
392,392,Google,Referral,,
393,393,Google,Paid,bit,
394,394,Email Campaign,Referral,might,
395,395,Facebook,Referral,drive,
396,396,Email Campaign,Referral,,together
397,397,Facebook,Organic,design,water
398,398,Direct,Organic,present,Congress
399,399,Direct,Paid,,
400,400,Email Campaign,Referral,million,suffer
401,401,Google,Paid,probably,
402,402,Facebook,Referral,,hear
403,403,Twitter,Organic,deal,have
404,404,Twitter,Social,,
405,405,Facebook,Social,,
406,406,Google,Referral,himself,possible
407,407,Direct,Social,different,
408,408,Direct,Referral,,some
409,409,Facebook,Paid,,
410,410,Facebook,Paid,middle,
411,411,Facebook,Paid,thousand,
412,412,Twitter,Referral,,military
413,413,Twitter,Social,,painting
414,414,Twitter,Paid,,test
415,415,Email Campaign,Referral,fine,
416,416,Facebook,Referral,,
417,417,Google,Referral,push,
418,418,Facebook,Organic,,
419,419,Direct,Social,consumer,
420,420,Facebook,Organic,,
421,421,Email Campaign,Paid,,seem
422,422,Twitter,Organic,,
423,423,Twitter,Paid,baby,article
424,424,Email Campaign,Social,,for
425,425,Email Campaign,Social,,
426,426,Twitter,Social,,sport
427,427,Google,Organic,,
428,428,Email Campaign,Organic,,
429,429,Twitter,Referral,test,hand
430,430,Email Campaign,Organic,,law
431,431,Google,Organic,,
432,432,Google,Social,establish,
433,433,Google,Paid,within,
434,434,Google,Organic,course,adult
435,435,Email Campaign,Paid,,
436,436,Email Campaign,Organic,choice,
437,437,Twitter,Social,themselves,such
438,438,Direct,Paid,reason,
439,439,Twitter,Organic,run,
440,440,Google,Social,,
441,441,Twitter,Organic,instead,claim
442,442,Email Campaign,Referral,,
443,443,Facebook,Organic,seek,
