Transaction_ID,Conversion_ID,Revenue,Product_ID,Quantity,Coupon_Code
1,30,126.37,3448,1,
2,113,1314.06,3799,5,
3,127,144.17,8526,3,ojOF-####
4,51,1251.48,2282,8,
5,168,436.43,1736,7,TRwu-####
6,119,1689.42,6480,5,
7,29,1337.04,1237,7,jDhu-####
8,10,1500.98,2279,3,
9,7,1714.81,3745,8,
10,18,1708.22,9651,9,cAFW-####
11,156,693.22,7622,10,
12,94,1301.34,2521,10,paRH-####
13,25,153.27,2379,3,
14,64,1361.14,7622,7,injJ-####
15,56,1879.05,3420,10,
16,10,1913.91,5212,1,CVRr-####
17,165,1383.61,9912,9,Wirj-####
18,155,639.5,5165,9,
19,51,1344.88,4195,1,
20,9,788.95,8901,10,
21,22,772.59,7643,1,
22,95,64.83,7858,1,
23,3,168.71,5097,1,
24,65,609.14,3421,7,JItP-####
25,43,1867.26,4256,10,uaMM-####
26,54,1265.34,6007,1,pGzf-####
27,39,1066.31,3731,1,
28,23,683.58,4906,6,
29,28,1329.98,6832,6,
30,108,581.71,8448,8,
31,89,925.22,5946,3,mbrH-####
32,31,1796.04,8762,7,
33,116,188.05,4479,7,
34,94,1877.65,5106,8,
35,100,1724.52,6386,4,
36,168,1459.47,5296,3,
37,64,894.24,5819,1,
38,162,1530.62,7906,8,
39,86,221.75,3196,4,
40,110,285.46,5298,6,iNoV-####
41,128,169.23,3377,3,
42,142,371.27,2445,1,
43,101,492.19,3540,7,
44,90,1650.54,6959,3,
45,159,1550.92,3774,5,YGtG-####
46,80,1249.89,6963,3,GzrN-####
47,31,1660.46,8684,5,iiOs-####
48,63,1931.0,1246,1,jBjV-####
49,138,1867.03,8742,2,
50,164,85.23,3757,3,
51,145,56.88,3236,10,
52,12,512.48,3540,4,
53,1,593.25,2393,3,
54,96,721.62,2332,5,
55,23,1540.32,2772,9,cuLP-####
56,42,519.45,9301,7,
57,12,98.82,1031,4,
58,166,1389.16,3724,8,
59,163,548.04,2895,7,sEDj-####
60,33,141.55,4233,2,
61,33,1008.36,1601,8,
62,53,1848.21,8726,3,
63,90,435.69,1252,4,vxUy-####
64,37,1012.55,2379,10,
65,125,860.4,1293,3,OaSI-####
66,139,995.32,5980,4,
67,21,298.04,9600,1,
68,163,1045.03,9151,7,
69,54,1633.17,6893,9,
70,44,513.11,2747,1,
71,10,624.49,3060,7,
72,52,1050.63,5197,10,
73,52,696.79,5138,10,
74,88,342.52,7733,9,
75,59,1212.81,6428,1,
76,112,378.46,8921,9,VlYR-####
77,69,698.12,5836,10,
78,153,656.19,7055,7,
79,7,1201.96,2584,10,
80,138,725.24,3370,10,
81,34,448.29,3674,1,
82,94,859.16,3202,4,qkpe-####
83,44,531.75,2668,8,
84,142,353.72,3021,8,
85,83,964.86,8403,1,
86,80,539.18,8728,7,
87,30,1147.88,6828,10,
88,63,1852.6,9495,6,
89,159,1703.72,2808,7,
90,165,1959.62,5869,3,SkIb-####
91,162,1179.7,5177,4,
92,59,728.08,8105,10,
93,130,187.87,5665,3,
94,19,312.77,2536,10,aQcV-####
95,128,908.3,1978,9,lZaj-####
96,23,658.34,1110,7,LNBG-####
97,152,879.48,4318,9,CGkC-####
98,24,1403.28,6424,3,
99,161,119.61,8490,6,
100,75,260.84,3877,8,
101,134,852.0,6999,8,WfGn-####
102,122,975.26,8617,2,dfJJ-####
103,139,704.34,7947,4,
104,108,1655.73,9638,7,
105,1,551.68,4442,3,
106,130,1728.54,3355,7,
107,24,1849.16,8397,8,
108,75,471.94,6149,7,
109,124,1465.31,3934,6,
110,7,1603.43,4305,6,RovI-####
111,98,1387.7,6125,3,
112,133,643.13,8551,1,
113,103,1087.39,8140,4,
114,124,632.68,1902,7,iVsn-####
115,168,764.74,2260,1,
116,128,1630.9,3282,7,
117,1,1249.01,1947,9,
118,34,358.98,8824,6,Dubm-####
119,40,1468.35,8374,3,ETMM-####
120,13,28.46,1123,7,kUxl-####
121,120,378.6,7079,2,
122,11,1874.0,2021,8,lqkM-####
123,63,540.1,1402,3,
124,44,1642.27,5352,9,
125,42,1127.86,2971,8,
126,29,1702.96,8550,4,
127,22,1795.39,5868,8,
128,49,856.99,9815,3,
129,125,1109.25,1705,4,
130,148,592.06,4468,5,MDQf-####
131,105,632.86,5603,8,YHmq-####
132,37,472.27,9665,10,
133,47,408.78,3069,9,EKKo-####
134,158,1255.51,3392,5,
135,109,934.11,1242,6,
136,7,1361.49,7490,10,LfqX-####
137,148,805.18,3730,9,Yxfy-####
138,95,1212.98,3302,9,
139,64,45.54,6230,4,zmLs-####
140,168,1156.05,9557,3,
141,96,1422.08,1041,2,rQqq-####
142,42,1296.47,3460,2,yQCh-####
143,109,80.19,7262,7,
144,86,389.12,6132,8,Ocvh-####
145,39,83.59,9485,6,
146,170,672.62,1570,2,RKcb-####
147,127,1023.75,7606,4,
148,169,357.39,8190,7,KsOG-####
149,88,1675.37,2936,2,
150,53,1040.48,8585,1,eyLx-####
151,163,1740.44,6110,2,
152,81,1034.77,3974,5,
153,14,1822.4,5081,7,
154,128,644.98,5792,4,
155,83,170.59,5349,5,
156,132,55.81,7420,1,
157,44,925.94,8854,7,
158,98,369.3,2405,1,
159,41,489.18,4137,4,
160,134,516.29,2485,8,YrEZ-####
161,138,1615.82,2297,3,
162,169,1541.27,3248,10,
163,59,1301.61,9393,3,
164,160,1636.38,5988,7,OIbo-####
165,38,587.4,3973,3,
166,51,558.57,1570,8,kmAX-####
167,105,1493.58,8781,1,
168,162,1029.91,6022,8,XMWw-####
169,154,1087.93,3032,3,
170,5,1761.87,6013,5,
171,39,1357.47,6696,7,fwQs-####
172,80,1973.75,2119,8,
173,161,416.27,8708,8,
174,21,1310.07,6069,9,
175,23,1180.86,6125,5,KQdr-####
176,18,967.94,6557,1,NVqz-####
177,60,623.77,3872,6,atIa-####
178,60,1233.34,5643,4,
179,54,602.51,3668,5,
180,156,1437.72,6831,1,
181,147,1978.59,7808,2,
182,138,872.91,3990,8,hAXg-####
183,156,949.1,2468,2,
184,23,1650.38,9980,3,
185,94,1937.73,2625,6,
186,94,439.42,2390,10,plmf-####
187,163,852.45,1695,3,GHYN-####
188,126,413.65,6549,4,
189,138,759.04,2321,2,
190,7,266.14,3449,2,
191,64,1085.63,4130,6,
192,15,824.73,8134,2,
193,50,1105.37,5333,10,MYVY-####
194,130,1659.86,7638,3,
195,41,1059.41,9316,10,
196,105,1694.54,8372,4,
197,135,1685.56,5637,8,
198,53,1435.0,8626,7,
199,81,854.76,4452,10,
200,162,179.59,5148,9,
201,72,1269.28,1973,8,
202,1,1278.2,9856,4,
203,99,85.24,1190,10,OToo-####
204,80,1484.48,9167,8,KUfm-####
205,107,725.95,6720,3,Lcom-####
206,170,496.8,4522,8,DLNE-####
207,93,474.08,8084,1,
208,142,398.14,6391,4,lKgF-####
209,119,356.86,8169,6,SZea-####
210,33,737.52,2751,4,
