User_ID,Age,Gender,Location,Device,Operating_System
1,65+,Male,Egypt,Tablet,MacOS
2,18-24,Male,Senegal,Desktop,iOS
3,35-44,Female,Aruba,Mobile,Android
4,55-64,Male,Benin,Mobile,Android
5,18-24,Female,Armenia,Mobile,iOS
6,65+,Male,Guadeloupe,Mobile,Android
7,18-24,Female,Tokelau,Desktop,iOS
8,65+,Female,Italy,Mobile,MacOS
9,18-24,Male,Sri Lanka,Desktop,iOS
10,65+,Female,Argentina,Mobile,MacOS
11,25-34,Female,South Africa,Desktop,iOS
12,18-24,Male,Djibouti,Tablet,MacOS
13,55-64,Female,Uruguay,Mobile,Windows
14,45-54,Female,Montenegro,Mobile,MacOS
15,35-44,Male,Togo,Mobile,iOS
16,45-54,Female,Lao People's Democratic Republic,Desktop,Windows
17,45-54,Female,French Southern Territories,Mobile,Android
18,25-34,Female,China,Mobile,iOS
19,18-24,Female,Martinique,Desktop,MacOS
20,35-44,Male,Brunei Darussalam,Tablet,Android
21,65+,Female,Norway,Tablet,Windows
22,45-54,Male,Algeria,Mobile,iOS
23,45-54,Female,Peru,Mobile,Android
24,65+,Female,Finland,Mobile,Windows
25,55-64,Female,Luxembourg,Desktop,Android
26,35-44,Male,Togo,Mobile,Android
27,18-24,Male,Andorra,Mobile,Android
28,65+,Male,Georgia,Mobile,iOS
29,25-34,Female,Libyan Arab Jamahiriya,Desktop,Windows
30,18-24,Male,Monaco,Desktop,Windows
31,18-24,Male,Gabon,Tablet,Android
32,35-44,Female,Colombia,Tablet,MacOS
33,18-24,Male,Barbados,Mobile,Android
34,65+,Male,Iraq,Tablet,Windows
35,35-44,Male,San Marino,Tablet,Windows
36,25-34,Male,Bouvet Island (Bouvetoya),Desktop,iOS
37,65+,Female,Sierra Leone,Tablet,Android
38,65+,Female,Hong Kong,Desktop,iOS
39,35-44,Female,Mozambique,Mobile,MacOS
40,55-64,Female,Burkina Faso,Desktop,MacOS
41,55-64,Male,Saint Pierre and Miquelon,Desktop,Windows
42,18-24,Male,Tonga,Tablet,MacOS
43,25-34,Male,Georgia,Tablet,iOS
44,65+,Male,Brazil,Mobile,iOS
45,35-44,Male,Croatia,Mobile,MacOS
46,35-44,Male,Algeria,Mobile,Android
47,65+,Male,India,Tablet,iOS
48,35-44,Female,United States Minor Outlying Islands,Desktop,Android
49,65+,Male,Palestinian Territory,Mobile,MacOS
50,18-24,Male,Peru,Tablet,iOS
51,55-64,Male,Estonia,Mobile,Android
52,65+,Female,Korea,Mobile,iOS
53,65+,Female,Iran,Mobile,Android
54,18-24,Female,Algeria,Mobile,Android
55,65+,Male,Mauritania,Mobile,MacOS
56,25-34,Female,Mexico,Mobile,Windows
57,45-54,Male,Macao,Tablet,MacOS
58,18-24,Male,Iceland,Mobile,MacOS
59,65+,Female,Gambia,Desktop,Android
60,25-34,Female,Zambia,Desktop,iOS
61,25-34,Female,El Salvador,Tablet,MacOS
62,35-44,Male,Marshall Islands,Desktop,Android
63,45-54,Female,Slovenia,Desktop,iOS
64,65+,Female,Malaysia,Tablet,Windows
65,25-34,Male,Saint Martin,Desktop,iOS
66,55-64,Female,Canada,Desktop,MacOS
67,18-24,Male,Denmark,Mobile,iOS
68,25-34,Female,Egypt,Mobile,MacOS
69,25-34,Male,Armenia,Mobile,iOS
70,25-34,Female,Cuba,Desktop,Windows
71,35-44,Male,Jordan,Desktop,MacOS
72,35-44,Male,Mali,Desktop,Android
73,55-64,Female,Bangladesh,Desktop,Android
74,18-24,Male,Ireland,Desktop,Windows
75,25-34,Male,Guinea,Desktop,MacOS
76,18-24,Female,Martinique,Tablet,Windows
77,65+,Male,Malawi,Tablet,MacOS
78,18-24,Male,Bhutan,Mobile,MacOS
79,25-34,Female,Malawi,Tablet,iOS
80,45-54,Female,Cook Islands,Tablet,MacOS
81,45-54,Female,Gibraltar,Mobile,Android
82,25-34,Male,Macao,Mobile,Windows
83,35-44,Male,Holy See (Vatican City State),Tablet,Android
84,65+,Female,Uruguay,Tablet,MacOS
85,65+,Male,Rwanda,Desktop,MacOS
